nom,note_ch_1,time_ch_1,note_ch_2,time_ch_2,note_ch_3,time_ch_3,note_ch_4,time_ch_4
Montana Norton,4,0:38,1,3:54,3,1:32,7,1:18
Camilla Goff,4,3:39,2,4:33,2,0:42,0,0:28
Tyrone Hubbard,0,2:53,4,4:51,1,1:35,10,1:26
Clayton Baird,1,4:55,2,4:11,2,4:26,3,0:10
Audra Logan,4,3:58,4,3:54,5,0:39,6,0:39
Lee Clayton,2,4:05,3,4:28,4,2:13,9,4:18
Kadeem Jensen,3,2:48,1,3:25,0,0:43,4,4:49
Myra Jennings,1,2:58,0,2:29,4,4:33,6,4:09
Louis Roy,2,1:15,3,1:18,3,3:37,5,0:51
Byron Weiss,1,2:40,2,1:28,3,4:46,9,1:08
Chastity Parrish,4,2:24,5,3:07,3,4:32,5,2:29
Malcolm White,5,2:40,5,4:33,1,2:18,7,3:47
Zachery Frost,5,1:08,2,4:26,4,4:06,2,2:32
Evelyn Stuart,3,4:47,3,2:34,2,4:52,2,2:17
Felix Bentley,0,3:32,4,2:12,4,1:27,7,4:56
Unity Sweet,5,3:18,1,3:48,1,0:01,8,0:00
Marah Britt,4,2:39,0,2:09,1,2:18,8,3:23
Bree Watson,2,3:12,4,2:11,2,1:19,7,4:05
Solomon Russell,5,1:41,2,4:55,0,4:54,1,2:30
Gareth Griffith,1,0:30,2,0:52,4,3:31,9,4:12
Illiana Pacheco,0,0:47,4,0:46,0,1:16,2,3:09
Colton Woodward,2,2:42,4,1:32,5,4:38,5,1:09
Burton Michael,1,4:58,1,1:24,0,2:40,8,3:15
Wesley Callahan,3,3:21,2,2:13,5,0:12,5,3:00
Ray Giles,4,1:46,5,1:22,4,0:58,5,2:31
Abel Schultz,2,2:47,4,0:12,1,0:29,5,0:10
Kiara Conrad,3,4:44,2,3:25,1,0:19,1,1:35
Yetta Glover,4,2:31,2,1:11,0,2:43,1,3:38
Castor Gilliam,4,2:44,1,4:40,3,0:55,5,0:32
Chase Tyler,4,0:55,1,1:47,1,2:34,2,0:16
Carson Velazquez,5,0:22,1,3:46,2,3:19,9,3:30
Sylvia Newman,1,3:14,3,3:44,4,2:19,6,2:36
Shelley Lyons,2,0:39,5,3:01,2,3:27,4,3:41
India Hurst,4,0:04,2,4:14,0,3:10,0,2:54
Regina Barnett,1,3:09,1,2:59,4,4:22,0,4:32
Deborah Warner,2,2:50,1,4:33,1,0:32,9,3:25
Fiona Acosta,3,1:25,1,4:26,1,4:22,5,0:33
Cadman Freeman,0,2:23,3,3:44,4,0:46,1,4:25
Hector Acevedo,5,0:29,4,3:57,4,1:11,5,0:22
Lars Patrick,2,2:31,3,2:21,2,4:19,2,0:43
Catherine Gillespie,2,0:26,1,4:55,3,4:23,4,0:07
Patience Olson,2,3:53,4,1:09,1,3:33,1,4:01
Kiayada Avila,3,3:11,3,0:05,4,4:15,8,4:07
Flynn Turner,2,0:52,3,4:42,3,0:37,1,1:21
Sage Snow,3,4:42,1,0:25,3,1:04,7,4:58
Forrest Harrington,0,2:04,4,2:42,2,3:51,7,1:04
Kuame Hunter,4,3:40,5,2:09,5,4:17,1,2:57
Orson Cain,1,1:01,1,4:02,2,3:55,2,0:53
Harlan Kirkland,4,0:49,4,2:30,4,0:58,5,4:01
Erich Harrison,0,4:17,3,1:55,5,0:25,9,4:23
Shana Nielsen,3,0:42,1,3:10,3,2:55,8,2:04
Melinda Dillard,2,1:24,1,0:27,5,1:11,0,2:03
Phillip Powell,4,1:02,2,3:09,1,3:45,5,0:06
Camden Case,3,4:57,4,3:12,2,1:50,4,2:17
Duncan Mcconnell,3,1:49,0,4:16,3,4:53,4,0:19
Fritz Salas,3,1:52,0,2:22,5,0:47,0,4:12
Sylvia Hines,5,3:32,4,4:58,3,1:32,6,3:32
Chelsea Jordan,0,1:39,1,3:43,4,0:36,4,3:51
Isabella Santiago,5,2:50,1,0:10,2,3:39,7,0:15
Isaac Weeks,5,0:06,4,4:18,4,0:41,7,1:33
Chester Webb,4,1:32,5,1:33,3,3:18,3,0:54
Leah Dickson,3,4:27,3,4:02,5,0:15,2,2:14
Amelia Adams,2,1:45,3,1:53,2,3:47,3,3:11
Rhoda Little,4,0:12,3,1:34,0,0:04,9,2:12
Patricia Spears,4,3:04,0,3:49,4,3:48,8,4:40
Caryn Greene,3,0:36,4,0:39,1,2:27,9,0:18
Claudia Christensen,0,0:11,3,3:40,1,1:36,5,4:51
